flower_name,scientific_name,medical_uses,extra_details
baganbilas,Impatiens balsamina,Used in traditional medicine for skin ailments,Baganbilas is a vibrant flower found in Nepal, often used in gardens for decoration.
godawari,Clerodendrum paniculatum,Used in Ayurveda for cough and fever,Godawari is known for its colorful petals and is popular in Nepalese gardens.
gulab,Rosa indica,Used for skin care and fragrance,Gulab (Rose) is famous for its fragrance and beauty; petals used in perfumes and teas.
gulbahar,Magnolia champaca,Used in aromatherapy,Gulbahar is a beautiful flowering plant with aromatic flowers.
japakusum,Plumeria rubra,Used in traditional medicine for inflammation,Japakusum blooms during spring and is often used in religious rituals.
lalupatey,Acalypha indica,Used for respiratory issues,Lalupatey has striking red leaves and grows in subtropical regions.
makhmali,Hibiscus rosa-sinensis,Used in hair care and to reduce fever,Makhmali (Hibiscus) has large flowers and is widely cultivated.
sayapatri,Rhododendron arboreum,Used in herbal remedies for heart and liver,Sayapatri is Nepal's national flower, known for its red clusters and high-altitude habitat.
sui ful,Amaranthus sp.,Used as leafy vegetable and for digestion,Sui ful is delicate with thin petals and commonly grown in home gardens.
thulo_lwang,Hibiscus tiliaceus,Used for skin and hair care,Thulo Lwang is a rare flower with unique features, often found near rivers and wetlands.
